Unnamed: 0,Player,Pos,Min,PrgC,PrgP,xAG,xG,Gls-xG,PPA,Att 3rd,Name,Tackles,Interceptions,Clearances,Duels total,Total duels won,Ground duels total,Ground duels won,Aerial duels total,Aerial duels won
0,Dominic Solanke,FW,90,0,2,0.4,0.9,0.0999999999999999,0,9,Dominic Solanke,1,0,3,11,3,7,2,4,1
1,Son Heung-min,LW,90,5,4,1.3,1.0,0.0,1,15,Son Heung-min,0,1,1,6,2,6,2,0,0
2,Brennan Johnson,RW,52,2,1,0.1,0.0,0.0,2,7,Brennan Johnson,1,0,0,3,3,3,3,0,0
3,Timo Werner,RW,38,0,2,0.4,0.0,0.0,1,13,Timo Werner,0,0,1,5,2,5,2,0,0
4,Pape Matar Sarr,"LM,RM",90,0,1,0.0,0.5,-0.5,1,7,Pape Matar Sarr,3,1,0,18,6,14,5,4,1
5,Yves Bissouma,CM,78,0,2,0.0,0.0,0.0,0,1,Yves Bissouma,5,0,1,11,6,11,6,0,0
6,Lucas Bergvall,CM,12,1,2,0.0,0.0,0.0,1,4,Lucas Bergvall,0,0,0,1,1,1,1,0,0
7,Dejan Kulusevski,RM,78,5,2,0.0,0.1,0.9,1,14,Dejan Kulusevski,1,1,0,12,4,12,4,0,0
8,James Maddison,LM,12,2,0,0.5,0.1,-0.1,0,4,James Maddison,0,0,0,2,1,1,1,1,0
9,Destiny Udogie,LB,90,1,4,0.0,0.0,0.0,0,9,Destiny Udogie,3,0,2,10,5,9,4,1,1
10,Micky van de Ven,CB,78,0,1,0.0,0.1,-0.1,0,1,Micky van de Ven,1,0,5,2,1,2,1,0,0
11,Archie Gray,CB,12,0,0,0.0,0.0,0.0,0,0,Archie Gray,0,0,0,1,1,0,0,1,1
12,Cristian Romero,CB,14,0,0,0.0,0.0,0.0,0,0,Cristian Romero,2,0,0,4,2,4,2,0,0
13,Radu Drăgușin,CB,76,0,2,0.0,0.0,0.0,0,0,Radu Drăgușin,1,1,2,6,4,2,1,4,3
14,Pedro Porro,RB,90,1,4,0.2,0.1,-0.1,0,17,Pedro Porro,1,0,4,6,5,5,4,1,1
15,Fraser Forster,GK,90,0,0,0.0,0.0,0.0,0,0,Fraser Forster,0,0,0,0,0,0,0,0,0
16,Nicolas Jackson,FW,75,5,0,0.0,0.3,-0.3,0,16,Nicolas Jackson,1,0,1,13,3,12,2,1,1
17,Christopher Nkunku,FW,15,0,0,0.0,0.0,0.0,0,2,Christopher Nkunku,0,0,0,3,1,0,0,3,1
18,Jadon Sancho,LW,90,8,6,0.0,0.4,0.6,5,34,Jadon Sancho,0,0,0,6,3,5,3,1,0
19,Pedro Neto,RW,85,4,2,0.2,0.1,-0.1,1,27,Pedro Neto,2,1,0,10,5,9,5,1,0
20,Noni Madueke,RW,5,1,0,0.0,0.0,0.0,0,2,Noni Madueke,1,0,0,1,1,1,1,0,0
21,Cole Palmer,AM,89,5,7,0.5,1.7,0.3,2,31,Cole Palmer,0,1,0,10,8,10,8,0,0
22,João Félix,AM,1,0,0,0.0,0.0,0.0,0,0,João Félix,0,0,0,2,0,2,0,0,0
23,Enzo Fernández,DM,90,1,10,0.0,0.1,0.9,4,29,Enzo Fernández,2,2,1,10,5,9,5,1,0
24,Roméo Lavia,DM,45,0,2,0.1,0.0,0.0,0,3,Roméo Lavia,3,3,0,9,6,7,5,2,1
25,Malo Gusto,RB,45,0,1,0.0,0.0,0.0,0,8,Malo Gusto,1,1,0,3,2,3,2,0,0
26,Marc Cucurella,LB,89,1,5,0.3,0.0,0.0,2,18,Marc Cucurella,2,0,0,5,3,5,3,0,0
27,Renato Veiga,LB,1,0,0,0.0,0.0,0.0,0,0,Renato Veiga,0,0,0,3,0,3,0,0,0
28,Levi Colwill,CB,90,0,3,0.0,0.2,-0.2,0,2,Levi Colwill,0,1,2,4,2,2,1,2,1
29,Benoît Badiashile,CB,90,0,4,0.0,0.0,0.0,0,2,Benoît Badiashile,4,1,2,9,6,6,4,3,2
30,Moisés Caicedo,"DM,RB",90,1,5,0.0,0.0,0.0,0,14,Moisés Caicedo,2,2,1,10,7,8,5,2,2
31,Robert Sánchez,GK,90,0,0,0.0,0.0,0.0,0,0,Robert Sánchez,0,0,0,0,0,0,0,0,0
