Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd
Tyler Adams,MF,6,345,1,13,0.4,1.0,0,-1.0,1,36
Asher Agbinone,MF,2,6,2,0,0.0,0.0,0,0.0,0,6
Carlos Alcaraz,MF,1,10,4,6,0.1,0.1,0,-0.1,1,9
Edson Álvarez,MF,11,630,7,34,0.4,0.1,0,-0.1,7,77
Elliot Anderson,"MF,FW",14,817,20,42,2.0,0.8,0,-0.8,5,206
André,MF,11,685,4,28,0.2,0.1,0,-0.1,2,42
Joe Aribo,MF,14,813,21,31,1.0,2.2,2,-0.20000000000000018,2,151
Harrison Armstrong,MF,2,3,0,0,0.0,0.0,0,0.0,0,2
Yasin Ayari,MF,12,726,11,30,0.8,0.7,0,-0.7,9,134
Carlos Baleba,MF,12,810,13,48,0.5,1.0,2,1.0,7,121
Ross Barkley,MF,12,448,11,24,0.5,1.5,2,0.5,5,85
Jean-Ricner Bellegarde,"MF,FW",13,654,17,12,0.5,0.5,1,0.5,6,112
Rodrigo Bentancur,MF,10,535,5,40,0.1,0.7,1,0.30000000000000004,3,92
Sander Berge,MF,12,793,6,36,0.4,0.1,0,-0.1,0,58
Lucas Bergvall,"MF,FW",9,81,5,9,0.2,0.1,0,-0.1,2,45
Philip Billing,MF,5,60,1,6,0.7,0.0,0,0.0,3,19
Yves Bissouma,MF,12,738,12,51,0.2,0.3,2,1.7,7,100
Emi Buendía,"MF,FW",7,43,2,5,0.0,0.1,0,-0.1,0,16
Facundo Buonanotte,"MF,FW",12,883,27,33,2.6,3.2,4,0.7999999999999998,10,188
Moisés Caicedo,"MF,DF",15,1325,13,76,1.9,0.4,1,0.6,16,201
Tom Cairney,MF,10,178,4,27,0.5,0.0,1,1.0,5,70
Jens Cajuste,MF,9,471,9,12,0.1,0.1,0,-0.1,2,63
Casemiro,MF,12,745,3,40,2.0,1.0,1,0.0,10,119
Conor Chaplin,"MF,FW",13,479,9,21,0.4,1.0,1,0.0,7,84
Chiquinho,MF,1,7,0,0,0.0,0.0,0,0.0,1,2
Hamza Choudhury,MF,1,15,0,0,0.0,0.0,0,0.0,0,2
Ryan Christie,MF,14,954,14,67,1.2,0.6,1,0.4,14,158
Toby Collyer,MF,1,45,0,2,0.1,0.0,0,0.0,0,7
Lewis Cook,MF,14,1177,14,76,2.2,0.6,1,0.4,10,202
Matheus Cunha,"MF,FW",15,1245,50,56,4.3,3.4,7,3.6,26,293
Mikkel Damsgaard,"MF,FW",15,1038,25,77,3.7,1.3,2,0.7,15,242
Danilo,MF,1,14,0,0,0.0,0.0,0,0.0,0,0
Kevin De Bruyne,MF,9,560,18,71,3.7,2.0,2,0.0,25,354
Justin Devenny,MF,5,206,3,4,0.3,0.5,1,0.5,2,38
Kiernan Dewsbury-Hall,MF,5,59,3,3,0.1,0.0,0,0.0,0,17
Nicolás Domínguez,"MF,FW",13,704,7,26,0.2,0.7,0,-0.7,2,119
Abdoulaye Doucouré,MF,12,893,10,28,0.5,0.5,0,-0.5,5,126
Cheick Doucouré,MF,7,241,1,11,0.0,0.2,0,-0.2,2,24
Flynn Downes,MF,13,1129,17,44,0.9,0.6,1,0.4,9,146
Tommy Doyle,MF,11,286,4,24,0.1,0.4,0,-0.4,2,30
Odsonne Édouard,"MF,FW",2,115,2,4,0.0,0.4,0,-0.4,0,18
Yunus Emre Konak,"MF,FW",4,20,1,2,0.0,0.2,0,-0.2,0,8
Julio Enciso,"MF,FW",7,91,4,5,0.2,0.2,0,-0.2,2,43
Wataru Endo,MF,6,23,0,3,0.0,0.0,0,0.0,0,8
Christian Eriksen,MF,9,507,4,27,1.7,0.1,0,-0.1,1,113
Eberechi Eze,"MF,FW",12,1019,34,52,2.1,3.4,1,-2.4,19,266
Bruno Fernandes,MF,15,1249,33,106,3.7,4.4,3,-1.4000000000000004,21,391
Mateus Fernandes,MF,14,1055,34,62,1.1,1.6,1,-0.6000000000000001,9,187
Enzo Fernández,MF,14,972,12,61,2.3,1.5,3,1.5,10,249
Phil Foden,"MF,FW",10,630,15,34,2.2,1.4,0,-1.4,15,260
Carlos Forbs,"MF,FW",6,206,8,7,0.0,0.1,0,-0.1,3,46
Idrissa Gana Gueye,MF,13,980,13,58,0.6,0.7,0,-0.7,5,131
Morgan Gibbs-White,MF,11,843,26,44,1.6,1.4,2,0.6000000000000001,9,206
Billy Gilmour,MF,2,98,2,11,0.0,0.1,0,-0.1,2,13
João Gomes,MF,15,1267,28,62,0.3,1.1,2,0.8999999999999999,7,164
Ryan Gravenberch,MF,14,1235,30,73,1.3,0.6,0,-0.6,13,192
Brajan Gruda,MF,5,68,3,0,0.1,0.0,0,0.0,0,20
Luis Guilherme,MF,2,13,0,0,0.0,0.0,0,0.0,0,5
Bruno Guimarães,MF,15,1332,19,96,1.6,0.9,0,-0.9,21,207
İlkay Gündoğan,MF,14,953,28,64,1.2,1.6,0,-1.6,11,362
Marcus Harness,MF,2,45,0,2,0.0,0.0,0,0.0,2,13
Hwang Hee-chan,"MF,FW",9,300,6,6,0.1,0.0,0,0.0,3,50
James Hill,MF,1,5,0,0,0.0,0.0,0,0.0,0,0
Jack Hinshelwood,"MF,DF",10,840,10,31,0.3,0.7,1,0.30000000000000004,4,133
Will Hughes,MF,13,801,13,46,1.2,0.6,0,-0.6,7,136
Omari Hutchinson,"MF,FW",14,1221,40,35,1.4,0.9,1,0.09999999999999998,9,264
Tim Iroegbunam,MF,6,383,5,10,0.1,0.2,0,-0.2,1,41
Andy Irving,MF,5,51,0,4,0.0,0.0,0,0.0,0,8
Vitaly Janelt,MF,14,1126,8,42,1.6,0.5,1,0.5,13,142
Mathias Jensen,MF,8,479,5,33,0.8,0.2,0,-0.2,10,107
João Pedro,"MF,FW",9,589,24,26,1.5,2.4,4,1.6,12,148
Joelinton,"MF,FW",15,1230,21,61,0.8,2.1,2,-0.10000000000000009,7,232
Curtis Jones,MF,11,568,7,35,0.2,1.9,2,0.10000000000000009,7,128
Jorginho,MF,7,364,5,25,0.2,0.0,0,0.0,8,59
Daichi Kamada,MF,11,620,13,39,0.6,0.6,0,-0.6,6,113
Boubacar Kamara,MF,6,257,4,8,0.1,0.0,0,0.0,2,19
