Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Cole Palmer,1300,15,10,5,5,63,56.25,63,0.0,0,55.26
Kevin De Bruyne,561,9,5,3,2,17,33.33,18,16.67,1,31.58
James Maddison,965,15,16,8,14,68,54.4,73,50.0,5,54.07
Mateo Kovačić,880,11,22,5,6,44,51.16,49,100.0,5,53.85
Bruno Fernandes,1253,15,32,11,14,60,50.0,70,41.67,10,48.61
Dwight McNeil,1143,13,10,5,1,43,43.88,46,17.65,3,40.0
Savinho,715,12,15,1,2,52,52.53,52,0.0,0,52.0
Matheus Nunes,448,11,14,3,5,27,50.0,32,45.45,5,49.23
Youri Tielemans,1304,15,34,13,16,74,60.16,82,42.11,8,57.75
Alex Iwobi,1304,15,21,6,18,49,47.57,52,15.0,3,42.28
Martin Ødegaard,667,8,9,1,1,30,44.12,32,100.0,2,45.71
Antoine Semenyo,1234,14,23,4,8,74,47.13,97,40.35,23,45.33
Mikkel Damsgaard,1041,15,40,13,20,67,54.92,76,50.0,9,54.29
Moisés Caicedo,1327,15,47,23,17,76,57.14,91,65.22,15,58.33
Bernardo Silva,1198,15,14,10,10,39,41.94,41,25.0,2,40.59
Amad Diallo,802,13,22,6,9,50,51.02,56,50.0,6,50.91
Enzo Fernández,970,14,32,5,8,53,50.96,56,20.0,3,47.06
Jarrod Bowen,1328,15,22,9,13,69,42.59,72,12.5,3,38.71
Declan Rice,1105,13,21,10,16,33,47.14,49,61.54,16,51.04
Elliot Anderson,821,14,29,7,15,70,57.85,82,66.67,12,58.99
Ryan Gravenberch,1236,14,26,28,15,65,59.63,77,85.71,12,62.6
Noni Madueke,950,14,14,5,4,46,46.0,52,50.0,6,46.43
Callum Hudson-Odoi,1057,14,13,6,4,41,60.29,41,0.0,0,53.25
Thomas Partey,1200,14,39,15,23,59,53.15,73,70.0,14,55.73
Morgan Gibbs-White,851,11,15,7,8,43,44.33,56,43.33,13,44.09
Jadon Sancho,500,9,1,0,0,20,50.0,20,0.0,0,46.51
Lewis Cook,1177,14,35,23,22,40,40.4,53,46.43,13,41.73
Casemiro,763,12,35,7,25,46,55.42,65,67.86,19,58.56
Phil Foden,629,10,1,3,2,21,47.73,22,25.0,1,45.83
Facundo Buonanotte,886,12,26,7,6,62,39.49,70,29.63,8,38.04
Dominik Szoboszlai,950,14,11,6,3,29,44.62,38,56.25,9,46.91
Jack Grealish,473,11,8,1,2,34,70.83,35,16.67,1,64.81
Toby Collyer,45,1,4,0,1,7,100.0,7,0.0,0,100.0
Rodri,66,2,2,1,0,4,80.0,5,100.0,1,83.33
Justin Kluivert,906,15,13,6,11,30,40.0,35,31.25,5,38.46
Dejan Kulusevski,1141,15,16,8,8,53,35.33,57,36.36,4,35.4
Bruno Guimarães,1335,15,33,13,10,111,56.63,116,41.67,5,55.77
İlkay Gündoğan,963,14,11,8,12,34,49.28,43,64.29,9,51.81
Carlos Baleba,813,12,24,19,5,48,50.53,61,59.09,13,52.14
Tomáš Souček,986,14,16,9,33,25,43.1,74,57.65,49,51.75
Emile Smith Rowe,1081,15,20,7,7,41,53.95,45,36.36,4,51.72
Andreas Pereira,952,14,8,4,2,25,37.31,32,46.67,7,39.02
Ibrahim Sangaré,214,3,15,2,2,19,67.86,24,62.5,5,66.67
