Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Tyler Adams,MF,6,345,1,13,0.4,1.0,0,-1.0,1,36,Tyler Adams,345,6,20,14,7,22,55.0,29,100.0,7,61.7
Carlos Alcaraz,MF,1,10,4,6,0.1,0.1,0,-0.1,1,9,Carlos Alcaraz,9,1,0,1,0,0,0.0,1,100.0,1,25.0
Edson Álvarez,MF,11,630,7,34,0.4,0.1,0,-0.1,7,77,Edson Álvarez,634,11,18,10,13,31,51.67,44,65.0,13,55.0
Elliot Anderson,"MF,FW",14,817,20,42,2.0,0.8,0,-0.8,5,206,Elliot Anderson,821,14,29,7,15,70,57.85,82,66.67,12,58.99
André,MF,11,685,4,28,0.2,0.1,0,-0.1,2,42,André,699,11,28,6,9,45,65.22,46,25.0,1,63.01
Joe Aribo,MF,14,813,21,31,1.0,2.2,2,-0.2000000000000001,2,151,Joe Aribo,821,14,15,9,11,40,50.63,50,76.92,10,54.35
Harrison Armstrong,MF,2,3,0,0,0.0,0.0,0,0.0,0,2,Harrison Armstrong,2,2,0,0,0,1,25.0,1,0.0,0,25.0
Yasin Ayari,MF,12,726,11,30,0.8,0.7,0,-0.7,9,134,Yasin Ayari,746,12,29,8,8,55,53.4,59,28.57,4,50.43
Carlos Baleba,MF,12,810,13,48,0.5,1.0,2,1.0,7,121,Carlos Baleba,813,12,24,19,5,48,50.53,61,59.09,13,52.14
Ross Barkley,MF,12,448,11,24,0.5,1.5,2,0.5,5,85,Ross Barkley,446,12,9,5,4,15,46.88,19,80.0,4,51.35
Jean-Ricner Bellegarde,"MF,FW",13,654,17,12,0.5,0.5,1,0.5,6,112,Jean-Ricner Bellegarde,666,13,8,6,7,27,40.91,29,14.29,2,36.25
Rodrigo Bentancur,MF,10,535,5,40,0.1,0.7,1,0.3,3,92,Rodrigo Bentancur,546,10,19,16,5,24,51.06,32,50.0,8,50.79
Sander Berge,MF,12,793,6,36,0.4,0.1,0,-0.1,0,58,Sander Berge,792,12,24,14,13,28,56.0,41,68.42,13,59.42
Lucas Bergvall,"MF,FW",9,81,5,9,0.2,0.1,0,-0.1,2,45,Lucas Bergvall,87,9,6,2,0,12,50.0,13,25.0,1,46.43
Philip Billing,MF,5,60,1,6,0.7,0.0,0,0.0,3,19,Philip Billing,68,5,8,1,1,11,78.57,13,50.0,2,72.22
Yves Bissouma,MF,12,738,12,51,0.2,0.3,2,1.7,7,100,Yves Bissouma,749,12,26,10,16,45,55.56,47,28.57,2,53.41
Emi Buendía,"MF,FW",7,43,2,5,0.0,0.1,0,-0.1,0,16,Emi Buendía,72,7,3,0,0,6,50.0,6,0.0,0,46.15
Facundo Buonanotte,"MF,FW",12,883,27,33,2.6,3.2,4,0.7999999999999998,10,188,Facundo Buonanotte,886,12,26,7,6,62,39.49,70,29.63,8,38.04
Moisés Caicedo,"MF,DF",15,1325,13,76,1.9,0.4,1,0.6,16,201,Moisés Caicedo,1327,15,47,23,17,76,57.14,91,65.22,15,58.33
Tom Cairney,MF,10,178,4,27,0.5,0.0,1,1.0,5,70,Tom Cairney,182,10,5,3,1,11,64.71,14,50.0,3,60.87
Jens Cajuste,MF,9,471,9,12,0.1,0.1,0,-0.1,2,63,Jens Cajuste,474,9,9,3,5,18,47.37,19,12.5,1,41.3
Casemiro,MF,12,745,3,40,2.0,1.0,1,0.0,10,119,Casemiro,763,12,35,7,25,46,55.42,65,67.86,19,58.56
Conor Chaplin,"MF,FW",13,479,9,21,0.4,1.0,1,0.0,7,84,Conor Chaplin,489,13,9,2,1,17,60.71,18,11.11,1,48.65
Chiquinho,MF,1,7,0,0,0.0,0.0,0,0.0,1,2,Chiquinho,12,1,0,0,0,0,0.0,0,0.0,0,0.0
Ryan Christie,MF,14,954,14,67,1.2,0.6,1,0.4,14,158,Ryan Christie,961,14,16,11,21,37,43.02,45,36.36,8,41.67
Toby Collyer,MF,1,45,0,2,0.1,0.0,0,0.0,0,7,Toby Collyer,45,1,4,0,1,7,100.0,7,0.0,0,100.0
Lewis Cook,MF,14,1177,14,76,2.2,0.6,1,0.4,10,202,Lewis Cook,1177,14,35,23,22,40,40.4,53,46.43,13,41.73
Mikkel Damsgaard,"MF,FW",15,1038,25,77,3.7,1.3,2,0.7,15,242,Mikkel Damsgaard,1041,15,40,13,20,67,54.92,76,50.0,9,54.29
Danilo,MF,1,14,0,0,0.0,0.0,0,0.0,0,0,Danilo,15,1,0,0,0,1,25.0,1,0.0,0,25.0
Kevin De Bruyne,MF,9,560,18,71,3.7,2.0,2,0.0,25,354,Kevin De Bruyne,561,9,5,3,2,17,33.33,18,16.67,1,31.58
Justin Devenny,MF,5,206,3,4,0.3,0.5,1,0.5,2,38,Justin Devenny,205,5,9,0,3,10,58.82,11,25.0,1,52.38
Kiernan Dewsbury-Hall,MF,5,59,3,3,0.1,0.0,0,0.0,0,17,Kiernan Dewsbury-Hall,68,5,0,1,2,2,50.0,2,0.0,0,50.0
Nicolás Domínguez,"MF,FW",13,704,7,26,0.2,0.7,0,-0.7,2,119,Nicolás Domínguez,703,13,27,15,14,35,50.72,43,53.33,8,51.19
Cheick Doucouré,MF,7,241,1,11,0.0,0.2,0,-0.2,2,24,Cheick Doucouré,243,7,7,6,3,14,56.0,15,25.0,1,51.72
Flynn Downes,MF,13,1129,17,44,0.9,0.6,1,0.4,9,146,Flynn Downes,1132,13,28,18,22,50,45.05,60,62.5,10,47.24
Tommy Doyle,MF,11,286,4,24,0.1,0.4,0,-0.4,2,30,Tommy Doyle,293,11,4,2,5,11,57.89,12,50.0,1,57.14
Yunus Emre Konak,"MF,FW",4,20,1,2,0.0,0.2,0,-0.2,0,8,Yunus Emre Konak,26,4,1,0,0,1,12.5,3,50.0,2,25.0
Julio Enciso,"MF,FW",7,91,4,5,0.2,0.2,0,-0.2,2,43,Julio Enciso,98,7,0,0,0,9,50.0,11,66.67,2,52.38
